"table_schema","table_name","constraint_type","constraint_name","column_name","foreign_table_schema","foreign_table_name","foreign_column_name"
"public","output_files","PRIMARY KEY","output_files_pkey","id","public","output_files","id"
"public","partners","FOREIGN KEY","partner_owner_user_id_fkey","partner_owner_user_id","public","users","id"
"public","partners","PRIMARY KEY","partners_pkey","id","public","partners","id"
"public","payment_events","FOREIGN KEY","payment_events_organization_id_fkey","organization_id","public","organizations","id"
"public","payment_events","PRIMARY KEY","payment_events_pkey","id","public","payment_events","id"
"public","presets","FOREIGN KEY","presets_recipe_id_fkey","service_id","public","services","id"
"public","presets","FOREIGN KEY","presets_user_id_fkey","user_id","public","users","id"
"public","presets","FOREIGN KEY","presets_organization_id_fkey","organization_id","public","organizations","id"
"public","presets","PRIMARY KEY","presets_pkey","id","public","presets","id"
"public","price_policies","FOREIGN KEY","price_policies_recipe_id_fkey","service_id","public","services","id"
"public","price_policies","PRIMARY KEY","price_policies_pkey","id","public","price_policies","id"
"public","processed_events","PRIMARY KEY","processed_events_pkey","event_id","public","processed_events","event_id"
"public","requested_implant_systems","PRIMARY KEY","requested_implant_systems_pkey","id","public","requested_implant_systems","id"
"public","roles","PRIMARY KEY","roles_pkey","name","public","roles","name"
"public","service_organization_access_control","FOREIGN KEY","recipe_organization_access_control_recipe_id_fkey","service_id","public","services","id"
"public","service_organization_access_control","FOREIGN KEY","recipe_organization_access_control_organization_id_fkey","organization_id","public","organizations","id"
"public","service_organization_access_control","PRIMARY KEY","recipe_organization_access_control_pkey","service_id","public","service_organization_access_control","service_id"
"public","service_organization_access_control","PRIMARY KEY","recipe_organization_access_control_pkey","organization_id","public","service_organization_access_control","organization_id"
"public","service_organization_access_control","PRIMARY KEY","recipe_organization_access_control_pkey","organization_id","public","service_organization_access_control","service_id"
"public","service_organization_access_control","PRIMARY KEY","recipe_organization_access_control_pkey","service_id","public","service_organization_access_control","organization_id"
"public","service_parameters","FOREIGN KEY","recipe_parameters_recipe_id_fkey","service_id","public","services","id"
"public","service_parameters","PRIMARY KEY","recipe_parameters_pkey","id","public","service_parameters","id"
"public","service_user_access_control","FOREIGN KEY","recipe_user_access_control_user_id_fkey","user_id","public","users","id"
"public","service_user_access_control","FOREIGN KEY","recipe_user_access_control_recipe_id_fkey","service_id","public","services","id"
"public","service_user_access_control","PRIMARY KEY","recipe_user_access_control_pkey","user_id","public","service_user_access_control","user_id"
"public","service_user_access_control","PRIMARY KEY","recipe_user_access_control_pkey","user_id","public","service_user_access_control","service_id"
"public","service_user_access_control","PRIMARY KEY","recipe_user_access_control_pkey","service_id","public","service_user_access_control","user_id"
"public","service_user_access_control","PRIMARY KEY","recipe_user_access_control_pkey","service_id","public","service_user_access_control","service_id"
"public","service_user_favorite","FOREIGN KEY","recipe_user_favorite_user_id_fkey","user_id","public","users","id"
"public","service_user_favorite","FOREIGN KEY","recipe_user_favorite_recipe_id_fkey","service_id","public","services","id"
"public","service_user_favorite","PRIMARY KEY","recipe_user_favorite_pkey","service_id","public","service_user_favorite","service_id"
"public","service_user_favorite","PRIMARY KEY","recipe_user_favorite_pkey","user_id","public","service_user_favorite","service_id"
"public","service_user_favorite","PRIMARY KEY","recipe_user_favorite_pkey","user_id","public","service_user_favorite","user_id"
"public","service_user_favorite","PRIMARY KEY","recipe_user_favorite_pkey","service_id","public","service_user_favorite","user_id"
